is_fire,date,lon,lat,confidence,line_number,elevation,land_cover_class,NDVI_5B,EVI_5B,LAI_5B,FPAR_5B,LST_5B,SW_radiation_5B,MOD13Q1_SummaryQA_0_1-5B,MCD15A3H_FparLai_QC_bit0-5B,MCD15A3H_FparLai_QC_3_4-5B,MOD21A1D_QC_0_1-5B,MOD21A1D_QC_4_5-5B,MCD18A1_DSR_Quality_0_1-5B,NDVI_4B,EVI_4B,LAI_4B,FPAR_4B,LST_4B,SW_radiation_4B,MOD13Q1_SummaryQA_0_1-4B,MCD15A3H_FparLai_QC_bit0-4B,MCD15A3H_FparLai_QC_3_4-4B,MOD21A1D_QC_0_1-4B,MOD21A1D_QC_4_5-4B,MCD18A1_DSR_Quality_0_1-4B,NDVI_3B,EVI_3B,LAI_3B,FPAR_3B,LST_3B,SW_radiation_3B,MOD13Q1_SummaryQA_0_1-3B,MCD15A3H_FparLai_QC_bit0-3B,MCD15A3H_FparLai_QC_3_4-3B,MOD21A1D_QC_0_1-3B,MOD21A1D_QC_4_5-3B,MCD18A1_DSR_Quality_0_1-3B,NDVI_2B,EVI_2B,LAI_2B,FPAR_2B,LST_2B,SW_radiation_2B,MOD13Q1_SummaryQA_0_1-2B,MCD15A3H_FparLai_QC_bit0-2B,MCD15A3H_FparLai_QC_3_4-2B,MOD21A1D_QC_0_1-2B,MOD21A1D_QC_4_5-2B,MCD18A1_DSR_Quality_0_1-2B,NDVI_1B,EVI_1B,LAI_1B,FPAR_1B,LST_1B,SW_radiation_1B,MOD13Q1_SummaryQA_0_1-1B,MCD15A3H_FparLai_QC_bit0-1B,MCD15A3H_FparLai_QC_3_4-1B,MOD21A1D_QC_0_1-1B,MOD21A1D_QC_4_5-1B,MCD18A1_DSR_Quality_0_1-1B,NDVI_0B,EVI_0B,LAI_0B,FPAR_0B,LST_0B,SW_radiation_0B,MOD13Q1_SummaryQA_0_1-0B,MCD15A3H_FparLai_QC_bit0-0B,MCD15A3H_FparLai_QC_3_4-0B,MOD21A1D_QC_0_1-0B,MOD21A1D_QC_4_5-0B,MCD18A1_DSR_Quality_0_1-0B
1,11/2/2000,-48.89951153,-20.48030842,64.61886792,2672.845283,470.8075742,20,3709.491107,1796.808395,,,301.3402461,597.6218491,0,,,1,0,1,4265.00411,2138.787131,,,306.286651,763.0291832,0,,,2,2,1,5452.325745,2599.80294,,,307.5826535,512.9985269,0,,,1,0,1,4798.939135,2251.968777,,,308.1670564,769.8130278,0,,,3,3,1,3199.052486,1830.478539,,,312.8336545,752.9734971,0,,,0,3,1,3753.833794,1965.828501,,,320.5045866,927.6935787,0,,,0,0,1
1,11/2/2000,-48.77764173,-20.2342216,66,2669,508.0261913,47,3767.552124,1823.944085,,,304.6590065,590.1581491,0,,,1,2,1,4314.389828,2586.695783,,,310.4051087,771.1863487,0,,,1,1,1,5109.259754,3021.8719,,,312.9525001,530.6320179,0,,,0,2,1,4373.640499,2698.665772,,,311.1243387,761.5204087,0,,,0,3,1,3921.56326,2292.262597,,,314.6214723,724.2824701,0,,,2,3,1,4115.332095,2088.367597,,,323.4267774,922.160436,0,,,3,3,1
1,11/2/2000,-48.67954546,-20.28818084,80,2670.5,512.3614787,3,4557.073606,2224.754383,,,303.8970383,587.9353162,0,,,2,1,1,5433.536487,3147.806666,,,308.7155582,756.9500763,0,,,2,2,1,6586.988233,4260.980809,,,311.2229552,541.3065174,0,,,3,3,1,6296.178092,3553.564445,,,309.7946561,778.0021316,0,,,2,3,1,5314.537751,3314.56176,,,311.3720126,771.3075479,0,,,3,2,1,7147.931383,4260.202925,,,318.747895,937.7207554,0,,,0,1,1
0,11/2/2000,-50.11251812,-22.63305358,,,565.8705571,15,3826.808109,2074.803525,,,299.6764269,415.4715617,0,,,0,1,1,4616.889908,2438.54493,,,306.5063418,747.4383677,0,,,0,0,1,5645.322058,3531.84478,,,305.1705966,549.0009807,0,,,1,2,1,5668.212993,3426.460681,,,306.3299562,710.5433178,0,,,0,0,1,5578.288627,3986.419584,,,308.2645581,814.590791,0,,,1,2,1,5883.904747,4183.119817,,,312.766995,871.4742917,0,,,0,0,1
0,11/2/2000,-48.51351692,-23.13611014,,,696.8531727,9,6836.681868,3282.025609,,,294.4682158,517.0244508,0,,,0,3,1,7476.464828,3760.601723,,,307.2002081,350.7354146,0,,,3,3,1,7740.061097,3864.469333,,,302.1094489,515.6338928,0,,,0,2,1,7563.591053,4613.699099,,,302.3165403,620.1038687,0,,,2,0,1,7625.344372,4579.095558,,,304.6293475,781.5248538,0,,,1,1,1,7523.811848,5062.943365,,,307.8151707,821.5826178,0,,,3,2,1
0,11/2/2000,-48.46860115,-23.54035202,,,624.7034023,15,3818.053309,1820.789607,,,297.5185496,526.7240248,0,,,1,3,1,4382.129916,1943.385642,,,309.3583238,611.6893274,1,,,3,3,1,4867.105355,2820.883826,,,306.2847899,501.7951651,0,,,1,3,1,5155.663955,3251.833676,,,305.2099265,612.1349768,0,,,3,2,1,5632.360054,3453.203127,,,308.4204626,733.0664322,0,,,0,2,1,5545.232137,3897.056276,,,307.6825812,857.6224195,0,,,2,0,1
1,11/4/2000,-48.48729377,-22.66688381,89.01517067,2613.994943,529.9851328,20,4138.223987,2159.459746,,,297.7144812,501.8438629,0,,,2,1,1,4119.083906,2314.168602,,,306.234638,661.0144367,0,,,3,3,1,4852.259619,2777.631587,,,304.4013984,529.6731477,0,,,0,2,1,4732.460141,2946.837639,,,306.97392,750.5168517,0,,,3,1,1,4400.710358,2673.661215,,,310.5637602,785.5667393,0,,,3,3,1,4801.968051,3045.526453,,,315.3802865,899.0642586,0,,,1,1,1
0,11/4/2000,-50.11251812,-22.63305358,,,565.8705571,15,3826.808109,2074.803525,,,299.6764269,427.953498,0,,,2,1,1,4616.889908,2438.54493,,,307.4058979,760.3071276,0,,,0,0,1,5645.322058,3531.84478,,,303.334041,530.2297419,0,,,2,1,1,5668.212993,3426.460681,,,306.7934835,718.4365197,0,,,1,3,1,5578.288627,3986.419584,,,308.6340056,816.936201,0,,,0,3,1,5883.904747,4183.119817,,,313.2840002,844.6699969,0,,,2,2,1
1,11/6/2000,-49.3911737,-20.14172006,86.51612903,2539.483871,468.1559159,20,3699.252153,1843.265503,,,305.0987052,657.0659409,0,,,1,2,1,4648.82392,2281.16984,,,311.0646331,780.1143068,0,,,1,2,1,4971.587487,2913.677463,,,303.3134294,483.0899039,0,,,2,0,1,5342.937989,2914.053638,,,309.7802411,791.2271519,0,,,0,1,1,4643.805435,2845.805435,,,313.0055832,768.5788792,0,,,0,3,1,4488.533507,2808.047416,,,319.2670463,863.6385112,1,,,3,1,1
1,11/6/2000,-47.18537317,-22.16326427,55,2542,636.469809,21,5174.968402,2543.654949,,,299.4459263,583.0828258,0,,,3,1,1,5768.189588,3070.707165,,,302.8254252,759.5896652,0,,,2,3,1,6018.487716,3495.927245,,,302.7122094,514.1867486,0,,,1,0,1,6111.194881,3778.59436,,,305.1846353,746.1484027,0,,,0,2,1,5961.770282,3581.575875,,,307.2735187,835.2362328,0,,,3,3,1,5890.381611,3965.067831,,,313.3223686,870.9267725,0,,,3,3,1
